,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,gym,focus,relax,party
0,0.0284,https://api.spotify.com/v1/audio-analysis/3gFGqm3n4eyFCHdlUip7xb,0.866,207218,0.621,3gFGqm3n4eyFCHdlUip7xb,0.0363,1,0.154,-3.54,1,0.0751,123.986,4,https://api.spotify.com/v1/tracks/3gFGqm3n4eyFCHdlUip7xb,audio_features,spotify:track:3gFGqm3n4eyFCHdlUip7xb,0.721,Feel the Rush,EDX,1,0,0,0
1,0.00777,https://api.spotify.com/v1/audio-analysis/4wkQmYpAaMe41Rc3sYZ7Vz,0.71,232800,0.882,4wkQmYpAaMe41Rc3sYZ7Vz,0.00771,4,0.294,-2.932,0,0.0595,128.016,4,https://api.spotify.com/v1/tracks/4wkQmYpAaMe41Rc3sYZ7Vz,audio_features,spotify:track:4wkQmYpAaMe41Rc3sYZ7Vz,0.875,Let's Go,Calvin Harris,1,0,0,0
2,0.0038,https://api.spotify.com/v1/audio-analysis/0yhPEz5KxlDwckGJaMlZqM,0.383,228360,0.861,0yhPEz5KxlDwckGJaMlZqM,0.0,4,0.11,-2.816,0,0.0777,176.084,4,https://api.spotify.com/v1/tracks/0yhPEz5KxlDwckGJaMlZqM,audio_features,spotify:track:0yhPEz5KxlDwckGJaMlZqM,0.48,Centuries,Fall Out Boy,1,0,0,0
3,0.0546,https://api.spotify.com/v1/audio-analysis/5LLj8FOkOpBm1zSEchjVlS,0.702,208587,0.862,5LLj8FOkOpBm1zSEchjVlS,4.47e-05,1,0.0995,-3.941,0,0.0333,108.006,4,https://api.spotify.com/v1/tracks/5LLj8FOkOpBm1zSEchjVlS,audio_features,spotify:track:5LLj8FOkOpBm1zSEchjVlS,0.711,Mad For It,TooManyLeftHands,1,0,0,0
4,0.131,https://api.spotify.com/v1/audio-analysis/79y4GJuL7f8HnmFjiaYjvF,0.522,210816,0.86,79y4GJuL7f8HnmFjiaYjvF,0.0209,10,0.122,-3.773,0,0.145,128.019,4,https://api.spotify.com/v1/tracks/79y4GJuL7f8HnmFjiaYjvF,audio_features,spotify:track:79y4GJuL7f8HnmFjiaYjvF,0.259,Open,Yellow Claw,1,0,0,0
5,0.0669,https://api.spotify.com/v1/audio-analysis/3Db8OhBMmNPLv2rHYoP7Wf,0.612,195852,0.9,3Db8OhBMmNPLv2rHYoP7Wf,1.81e-06,2,0.431,-2.101,1,0.052,124.514,4,https://api.spotify.com/v1/tracks/3Db8OhBMmNPLv2rHYoP7Wf,audio_features,spotify:track:3Db8OhBMmNPLv2rHYoP7Wf,0.341,P.Y.T. (Pretty Young Thing),John Gibbons,1,0,0,0
6,0.0268,https://api.spotify.com/v1/audio-analysis/6F3rgQfSns1slUnMfHXjOA,0.624,157452,0.923,6F3rgQfSns1slUnMfHXjOA,0.000228,9,0.0509,-5.449,0,0.0335,124.994,4,https://api.spotify.com/v1/tracks/6F3rgQfSns1slUnMfHXjOA,audio_features,spotify:track:6F3rgQfSns1slUnMfHXjOA,0.402,Sweet Memories,CID,1,0,0,0
7,0.37,https://api.spotify.com/v1/audio-analysis/0rHVd8h0cFwgLgPFem6S60,0.916,196000,0.804,0rHVd8h0cFwgLgPFem6S60,1.18e-05,0,0.0812,-3.406,1,0.049,120.028,4,https://api.spotify.com/v1/tracks/0rHVd8h0cFwgLgPFem6S60,audio_features,spotify:track:0rHVd8h0cFwgLgPFem6S60,0.538,Girls Like (feat. Zara Larsson),Tinie Tempah,1,0,0,0
8,0.00574,https://api.spotify.com/v1/audio-analysis/1KqvRRQd3lfM0pAlkGPrgD,0.682,192000,0.812,1KqvRRQd3lfM0pAlkGPrgD,0.0,1,0.0553,-2.691,0,0.118,104.891,4,https://api.spotify.com/v1/tracks/1KqvRRQd3lfM0pAlkGPrgD,audio_features,spotify:track:1KqvRRQd3lfM0pAlkGPrgD,0.347,Shape of You (Major Lazer Remix) [feat. Nyla & Kranium],Ed Sheeran,1,0,0,0
9,0.491,https://api.spotify.com/v1/audio-analysis/6vBgJ1SLmpB4VMcEVy1ovL,0.698,184000,0.833,6vBgJ1SLmpB4VMcEVy1ovL,0.0,1,0.106,-4.868,1,0.347,94.99,4,https://api.spotify.com/v1/tracks/6vBgJ1SLmpB4VMcEVy1ovL,audio_features,spotify:track:6vBgJ1SLmpB4VMcEVy1ovL,0.473,All I Need,Joakim Lundell,1,0,0,0
